title,externalPath,job_family,reason
Adjunct Faculty - University Student Teacher Supervisor-1,/job/William--Mary/Adjunct-Faculty---University-Student-Teacher-Supervisor-1_JR101021,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Adjunct Faculty - Curriculum & Instruction (C&I)-1,/job/School-Of-Education/Adjunct-Faculty---Curriculum---Instruction--C-I--1_JR101019,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Adjunct Professor of Government,/job/William--Mary/Adjunct-Professor-of-Government_JR100883,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
"Adjunct Professor of Gender, Sexuality, & Women’s Studies",/job/William--Mary/Adjunct-Professor-of-Gender--Sexuality----Women-s-Studies_JR101022,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Adjunct Professor of Geospatial Analysis,/job/William--Mary/Adjunct-Professor_JR100960,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Assistant Professor of Computer Science,/job/William--Mary/Assistant-Professor-of-Computer-Science_JR101035,Faculty - Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Adjunct Professor in Management,/job/Posting-Location---William--Mary/Adjunct-Professor-in-Management_JR100300-1,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Editor of William and Mary Quarterly,/job/William--Mary/Editor-of-William-and-Mary-Quarterly_JR100984,Faculty - Tenure Track (12 months),bulletFields contains faculty (case-insensitive)
Adjunct Faculty - Online Counseling Program-1,/job/School-Of-Education/Adjunct-Faculty---Online-Counseling-Program-1_JR100975,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Adjunct Faculty - School Psychology and Counselor Education,/job/School-Of-Education/Adjunct-Faculty---School-Psychology-and-Counselor-Education_JR100935,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Adjunct Faculty (Section Lead) Pool - Online Business Analytics Courses-4,/job/Remote-Work---Virginia/Adjunct-Faculty--Section-Lead--Pool---Online-Business-Analytics-Courses-4_JR100918,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Adjunct Faculty (Section Lead) Pool - Online Marketing Courses-1,/job/Remote-Work---Virginia/Adjunct-Faculty--Section-Lead--Pool---Online-Marketing-Courses-1_JR100920,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Adjunct Faculty (Section Lead) Pool - Online Finance Courses,/job/Adjunct-Faculty--Section-Lead--Pool-Online-Finance-Course-4_JR100651,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Postdoctoral Fellow of Physics (Theoretical AMO / QIS),/job/William--Mary/Postdoctoral-Fellow-of-Physics--Theoretical-AMO---QIS-_JR100718,Faculty - Postdoctoral Research Associate (12 months),bulletFields contains faculty (case-insensitive)
Postdoctoral Fellow of Physics (AMO Theory),/job/William--Mary/Postdoctoral-Fellow-of-Physics--AMO-Theory-_JR100589,Faculty - Postdoctoral Research Associate (12 months),bulletFields contains faculty (case-insensitive)
Adjunct Pooled Position - Accounting Department,/job/Miller-Hall/Adjunct-Pooled-Position---Accounting-Department_JR100751,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
"Adjunct Professor, Online Masters of Legal Studies (MLS)",/job/Remote-Work---Virginia/Adjunct-Professor--Online-Masters-of-Legal-Studies--MLS-_JR100672,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Adjunct Professor,/job/School-Of-Law/Adjunct-Professor_JR100647,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
"Asst/Assoc/Full Professor, Law",/job/School-Of-Law/Asst-Assoc-Full-Professor--Law_JR100573,Faculty - Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
